WTA;Location;Tournament;Date;Tier;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;Wsets;Lsets;Comment;B365W;B365L;PSW;PSL;MaxW;MaxL;AvgW;AvgL
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Sakkari M.;Zidansek T.;6;30;4385;1876;6;2;0;6;6;4;2;1;Completed;1,14;5,5;1,15;6,34;1,16;7;1,13;5,75
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Rybakina E.;Sanders S.;14;132;2855;581;6;4;1;6;6;1;2;1;Completed;1,2;4,5;1,22;4,7;1,24;5,52;1,2;4,4
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Juvan K.;Paquet C.;100;119;788;628;6;4;6;2;;;2;0;Completed;1,5;2,62;1,47;2,89;1,52;2,9;1,45;2,71
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Tomljanovic A.;Watson H.;45;72;1395;949;6;4;7;6;;;2;0;Completed;1,3;3,5;1,33;3,64;1,34;3,65;1,3;3,45
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Fernandez L.A.;Alexandrova E.;24;34;2284;1736;6;3;6;4;;;2;0;Completed;1,57;2,37;1,76;2,17;1,86;2,43;1,65;2,21
1;Adelaide;Adelaide International 1;03/01/2022;WTA500;Outdoor;Hard;1st Round;3;Hon P.;Kvitova P.;263;17;266;2660;6;7;7;5;6;2;2;1;Completed;6;1,12;6,84;1,13;7,25;1,15;6,02;1,12
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Gasanova A.;Svitolina E.;130;15;587;2726;5;7;6;4;6;3;2;1;Completed;5,5;1,14;8,12;1,1;8,75;1,14;6,77;1,1
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Rogers S.;Inglis M.;40;141;1583;549;6;1;6;3;;;2;0;Completed;1,22;4,33;1,27;4,18;1,27;4,4;1,23;4,07
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Gauff C.;Eikeri U.;22;306;2550;220;6;2;6;1;;;2;0;Completed;1,06;10;1,05;13,55;1,06;13,55;1,04;10,51
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Kenin S.;Bronzetti L.;12;148;2971;495;7;5;7;5;;;2;0;Completed;1,3;3,5;1,35;3,49;1,36;3,6;1,32;3,35
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Swiatek I.;Saville D.;9;419;3786;126;6;3;6;3;;;2;0;Completed;1,2;4,5;1,21;4,94;1,25;5,5;1,21;4,4
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Doi M.;Kucova K.;105;97;771;807;6;3;3;6;6;1;2;1;Completed;2;1,8;2,12;1,79;2,12;1,89;1,99;1,8
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Bouzkova M.;Papamichail D.;90;182;838;370;6;3;6;0;;;2;0;Completed;1,14;5,5;1,17;5,65;1,18;6;1,15;5,38
1;Adelaide;Adelaide International 1;04/01/2022;WTA500;Outdoor;Hard;1st Round;3;Azarenka V.;Badosa P.;27;8;2166;3849;6;3;6;2;;;2;0;Completed;2;1,8;2,1;1,81;2,14;1,95;1,98;1,81
1;Adelaide;Adelaide International 1;05/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Juvan K.;Sabalenka A.;100;2;788;6380;7;6;6;1;;;2;0;Completed;4,5;1,2;4,76;1,23;5,5;1,25;4,36;1,21
1;Adelaide;Adelaide International 1;05/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Rogers S.;Sakkari M.;40;6;1583;4385;7;6;2;6;6;4;2;1;Completed;3;1,4;3,09;1,43;3,27;1,49;2,93;1,4
1;Adelaide;Adelaide International 1;05/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Rybakina E.;Bouzkova M.;14;90;2855;838;6;3;6;4;;;2;0;Completed;1,28;3,75;1,33;3,69;1,35;4,05;1,29;3,53
1;Adelaide;Adelaide International 1;05/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Barty A.;Gauff C.;1;22;7582;2550;4;6;7;5;6;1;2;1;Completed;1,4;3;1,41;3,19;1,45;3,25;1,38;3
1;Adelaide;Adelaide International 1;06/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Swiatek I.;Fernandez L.A.;9;24;3786;2284;6;1;6;2;;;2;0;Completed;1,53;2,5;1,48;2,87;1,62;2,92;1,52;2,5
1;Adelaide;Adelaide International 1;06/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Azarenka V.;Hon P.;27;263;2166;266;6;3;7;5;;;2;0;Completed;1,14;5,5;1,12;7,65;1,19;7,65;1,13;5,89
1;Adelaide;Adelaide International 1;06/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Doi M.;Gasanova A.;105;130;771;587;7;6;6;3;;;2;0;Completed;1,8;2;1,99;1,92;1,99;2,1;1,84;1,96
1;Adelaide;Adelaide International 1;06/01/2022;WTA500;Outdoor;Hard;2nd Round;3;Kenin S.;Tomljanovic A.;12;45;2971;1395;3;6;7;6;6;3;2;1;Completed;1,9;1,9;2,1;1,83;2,1;1,95;1,95;1,85
1;Adelaide;Adelaide International 1;07/01/2022;WTA500;Outdoor;Hard;Quarterfinals;3;Rybakina E.;Rogers S.;14;40;2855;1583;3;6;6;3;6;2;2;1;Completed;1,57;2,37;1,54;2,67;1,62;2,81;1,53;2,47
1;Adelaide;Adelaide International 1;07/01/2022;WTA500;Outdoor;Hard;Quarterfinals;3;Doi M.;Juvan K.;105;100;771;788;6;3;4;6;7;6;2;1;Completed;2,62;1,5;2,71;1,53;2,9;1,55;2,6;1,49
1;Adelaide;Adelaide International 1;07/01/2022;WTA500;Outdoor;Hard;Quarterfinals;3;Barty A.;Kenin S.;1;12;7582;2971;6;3;6;4;;;2;0;Completed;1,25;4;1,26;4,36;1,31;4,36;1,25;3,9
1;Adelaide;Adelaide International 1;07/01/2022;WTA500;Outdoor;Hard;Quarterfinals;3;Swiatek I.;Azarenka V.;9;27;3786;2166;6;3;2;6;6;1;2;1;Completed;1,8;2;1,79;2,14;1,83;2,2;1,77;2,05
1;Adelaide;Adelaide International 1;08/01/2022;WTA500;Outdoor;Hard;Semifinals;3;Rybakina E.;Doi M.;14;105;2855;771;6;4;6;3;;;2;0;Completed;1,14;5,5;1,17;5,92;1,19;6;1,15;5,31
1;Adelaide;Adelaide International 1;08/01/2022;WTA500;Outdoor;Hard;Semifinals;3;Barty A.;Swiatek I.;1;9;7582;3786;6;2;6;4;;;2;0;Completed;1,57;2,37;1,58;2,54;1,62;2,61;1,55;2,44
1;Adelaide;Adelaide International 1;09/01/2022;WTA500;Outdoor;Hard;The Final;3;Barty A.;Rybakina E.;1;14;7582;2855;6;3;6;2;;;2;0;Completed;1,25;4;1,33;3,69;1,33;4,03;1,27;3,72
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Osaka N.;Cornet A.;13;61;2956;1080;6;4;3;6;6;3;2;1;Completed;1,16;5;1,26;4,17;1,26;5;1,22;4,16
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Ruse E.G.;Rodionova Ar.;87;152;859;478;6;3;6;2;;;2;0;Completed;1,14;5,5;1,15;6,06;1,15;6,75;1,13;5,65
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Zanevska M.;Martic P.;82;54;871;1171;6;3;6;4;;;2;0;Completed;;;2,02;1,86;2,1;1,91;1,99;1,79
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Kanepi K.;Cristian J.;73;71;948;954;6;7;7;6;6;2;2;1;Completed;1,61;2,3;1,74;2,19;1,74;2,35;1,66;2,18
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Zvonareva V.;Riske A.;81;51;876;1191;7;5;6;3;;;2;0;Completed;1,72;2,1;1,78;2,12;1,85;2,2;1,75;2,06
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Petkovic A.;Samsonova L.;75;38;919;1597;6;3;7;6;;;2;0;Completed;2,62;1,5;2,79;1,48;2,8;1,57;2,63;1,48
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Konjuh A.;Martincova T.;67;48;998;1226;6;4;6;4;;;2;0;Completed;1,9;1,9;1,93;1,93;1,98;2,05;1,89;1,88
2;Melbourne;Melbourne Summer Set 1;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Golubic V.;Davis L.;43;89;1422;839;7;5;6;1;;;2;0;Completed;1,5;2,62;1,43;2,97;1,5;3;1,43;2,77
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Kudermetova V.;Kuzmova V.;31;162;1870;441;7;6;7;6;;;2;0;Completed;1,4;3;1,39;3,2;1,44;3,35;1,38;2,98
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Zheng Q.;Hontama M.;126;150;596;483;4;6;6;2;6;3;2;1;Completed;;;;;;;;
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Potapova A.;Cabrera L.;69;173;985;409;5;7;6;2;6;2;2;1;Completed;1,25;4;1,23;4,5;1,33;4,65;1,24;4,02
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Burel C.;Zhang S.;76;60;913;1096;6;3;7;6;;;2;0;Completed;2;1,8;2,2;1,72;2,2;1,83;2,06;1,75
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Pattinama Kerkhove L.;Mendez S.;158;239;450;301;6;3;6;4;;;2;0;Completed;1,16;5;1,22;4,61;1,25;5;1,2;4,48
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Bondar A.;Siniakova K.;92;49;821;1220;7;5;7;6;;;2;0;Completed;2,75;1,44;2,63;1,53;2,9;1,54;2,65;1,47
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Brengle M.;Hibino N.;59;129;1102;590;7;6;7;6;;;2;0;Completed;1,44;2,75;1,4;3,12;1,46;3,65;1,38;2,98
2;Melbourne;Melbourne Summer Set 1;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Halep S.;Aiava D.;20;316;2576;208;6;4;6;2;;;2;0;Completed;1,11;6,5;1,09;8,63;1,13;9;1,09;7,29
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Konjuh A.;Kanepi K.;67;73;998;948;6;2;3;6;6;3;2;1;Completed;1,72;2,1;1,79;2,14;1,8;2,3;1,73;2,09
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Petkovic A.;Burel C.;75;76;919;913;7;5;2;6;6;4;2;1;Completed;1,61;2,3;1,71;2,27;1,74;2,3;1,64;2,24
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Golubic V.;Pattinama Kerkhove L.;43;158;1422;450;6;3;6;0;;;2;0;Completed;1,28;3,75;1,3;3,92;1,33;4,35;1,28;3,61
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Potapova A.;Bondar A.;69;92;985;821;6;4;6;7;7;5;2;1;Completed;1,72;2,1;1,74;2,22;1,8;2,23;1,72;2,11
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Halep S.;Ruse E.G.;20;87;2576;859;6;2;6;1;;;2;0;Completed;1,16;5;1,14;6,74;1,19;6,74;1,14;5,53
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Zheng Q.;Zvonareva V.;126;81;596;876;5;7;6;3;6;4;2;1;Completed;2,1;1,72;2,09;1,83;2,33;1,83;2,12;1,71
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Osaka N.;Zanevska M.;13;82;2956;871;6;1;6;1;;;2;0;Completed;1,16;5;1,19;5,45;1,2;5,5;1,17;4,93
2;Melbourne;Melbourne Summer Set 1;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Kudermetova V.;Brengle M.;31;59;1870;1102;6;0;3;6;7;5;2;1;Completed;1,36;3,2;1,33;3,65;1,44;3,67;1,34;3,21
2;Melbourne;Melbourne Summer Set 1;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Zheng Q.;Konjuh A.;126;67;596;998;7;6;7;6;;;2;0;Completed;2,2;1,66;2,17;1,78;2,29;1,85;2,15;1,7
2;Melbourne;Melbourne Summer Set 1;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Halep S.;Golubic V.;20;43;2576;1422;6;2;5;7;6;4;2;1;Completed;1,2;4,5;1,21;5,03;1,22;5,5;1,19;4,65
2;Melbourne;Melbourne Summer Set 1;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Kudermetova V.;Potapova A.;31;69;1870;985;6;2;4;6;6;0;2;1;Completed;1,57;2,37;1,59;2,52;1,67;2,54;1,58;2,37
2;Melbourne;Melbourne Summer Set 1;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Osaka N.;Petkovic A.;13;75;2956;919;6;1;7;5;;;2;0;Completed;1,12;6;1,15;6,47;1,16;6,75;1,13;5,87
2;Melbourne;Melbourne Summer Set 1;08/01/2022;WTA250;Outdoor;Hard;Semifinals;3;Halep S.;Zheng Q.;20;126;2576;596;6;3;6;2;;;2;0;Completed;1,22;4,33;1,27;4,22;1,29;4,5;1,23;4,05
2;Melbourne;Melbourne Summer Set 1;08/01/2022;WTA250;Outdoor;Hard;Semifinals;3;Kudermetova V.;Osaka N.;31;13;1870;2956;;;;;;;;;Walkover;4,33;1,22;4,67;1,23;5;1,25;4,31;1,21
2;Melbourne;Melbourne Summer Set 1;09/01/2022;WTA250;Outdoor;Hard;The Final;3;Halep S.;Kudermetova V.;20;31;2576;1870;6;2;6;3;;;2;0;Completed;1,3;3,5;1,31;3,86;1,33;3,9;1,29;3,58
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Begu I.;Pegula J.;62;18;1076;2650;7;6;6;3;;;2;0;Completed;4;1,25;4,07;1,27;4,33;1,28;3,91;1,24
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Paolini J.;Schmiedlova A.;53;85;1178;867;2;6;6;3;6;4;2;1;Completed;1,5;2,62;1,63;2,38;1,65;2,62;1,57;2,39
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Anisimova A.;Van Uytvanck A.;78;58;890;1125;7;6;1;6;7;5;2;1;Completed;1,61;2,3;1,54;2,6;1,62;2,6;1,54;2,42
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Li A.;Sherif M.;47;63;1314;1049;6;2;6;0;;;2;0;Completed;1,28;3,75;1,31;3,7;1,33;4,15;1,28;3,57
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Sevastova A.;Garcia C.;70;74;956;945;6;4;6;4;;;2;0;Completed;2,1;1,72;1,97;1,9;2,02;1,95;1,95;1,83
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Cirstea S.;Gracheva V.;39;77;1589;912;6;0;6;0;;;2;0;Completed;1,66;2,2;1,68;2,27;1,73;2,34;1,66;2,19
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Tauson C.;Kalinina A.;44;52;1421;1188;7;5;6;3;;;2;0;Completed;1,3;3,5;1,34;3,47;1,4;4,33;1,33;3,22
3;Melbourne;Melbourne Summer Set 2;04/01/2022;WTA250;Outdoor;Hard;1st Round;3;Sorribes Tormo S.;Haddad Maia B.;36;83;1645;868;6;4;5;7;6;3;2;1;Completed;1,57;2,37;1,54;2,6;1,57;2,6;1,53;2,45
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Parrizas Diaz N.;Perez E.;66;196;1008;348;6;0;6;3;;;2;0;Completed;1,44;2,75;1,46;2,88;1,5;3;1,44;2,76
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Keys M.;Dart H.;56;123;1149;616;6;3;7;6;;;2;0;Completed;1,4;3;1,45;2,92;1,5;3,2;1,4;2,9
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Peterson R.;Sharma A.;88;98;853;806;6;1;3;6;6;2;2;1;Completed;1,53;2,5;1,5;2,72;1,58;2,72;1,5;2,54
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Kasatkina D.;Kalinskaya A.;26;111;2180;716;6;1;3;0;;;1;0;Retired;1,5;2,62;1,55;2,57;1,65;2,7;1,52;2,51
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Zhu L.;Stosur S.;114;382;683;153;7;6;7;6;;;2;0;Completed;1,14;5,5;1,12;6,94;1,17;7;1,12;5,96
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Liu C.;Kostyuk M.;94;50;815;1215;4;6;6;4;6;3;2;1;Completed;2,37;1,57;2,44;1,6;2,67;1,62;2,4;1,56
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Sasnovich A.;Wang Xin.;107;101;755;786;6;4;6;2;;;2;0;Completed;1,66;2,2;1,72;2,2;1,79;2,46;1,65;2,23
3;Melbourne;Melbourne Summer Set 2;05/01/2022;WTA250;Outdoor;Hard;1st Round;3;Rakhimova K.;Minnen G.;120;80;626;877;7;5;7;5;;;2;0;Completed;2,1;1,72;2,17;1,75;2,32;2;2,07;1,75
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Anisimova A.;Cirstea S.;78;39;890;1589;6;4;6;1;;;2;0;Completed;1,66;2,2;1,7;2,27;1,74;2,35;1,68;2,17
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Kasatkina D.;Keys M.;26;56;2180;1149;7;6;2;6;6;3;2;1;Completed;1,66;2,2;1,66;2,35;1,83;2,4;1,7;2,14
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Begu I.;Paolini J.;62;53;1076;1178;3;6;6;2;6;3;2;1;Completed;1,61;2,3;1,63;2,41;1,74;2,55;1,61;2,29
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Rakhimova K.;Sorribes Tormo S.;120;36;626;1645;7;6;6;4;;;2;0;Completed;2,37;1,57;2,48;1,6;2,55;1,66;2,38;1,57
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Sasnovich A.;Peterson R.;107;88;755;853;6;2;6;4;;;2;0;Completed;1,8;2;1,82;2,08;1,95;2,08;1,82;1,98
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Parrizas Diaz N.;Liu C.;66;94;1008;815;3;6;7;5;6;1;2;1;Completed;1,9;1,9;2,03;1,86;2,11;2;1,95;1,84
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Tauson C.;Zhu L.;44;114;1421;683;6;1;6;0;;;2;0;Completed;1,25;4;1,31;3,77;1,33;4;1,28;3,56
3;Melbourne;Melbourne Summer Set 2;06/01/2022;WTA250;Outdoor;Hard;2nd Round;3;Li A.;Sevastova A.;47;70;1314;956;6;1;6;4;;;2;0;Completed;1,5;2,62;1,52;2,69;1,6;2,7;1,5;2,55
3;Melbourne;Melbourne Summer Set 2;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Anisimova A.;Begu I.;78;62;890;1076;2;6;6;3;6;2;2;1;Completed;1,57;2,37;1,54;2,66;1,6;2,7;1,52;2,49
3;Melbourne;Melbourne Summer Set 2;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Kasatkina D.;Parrizas Diaz N.;26;66;2180;1008;7;5;6;1;;;2;0;Completed;1,3;3,5;1,3;3,95;1,35;3,95;1,3;3,49
3;Melbourne;Melbourne Summer Set 2;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Sasnovich A.;Tauson C.;107;44;755;1421;6;3;2;0;;;1;0;Retired;2,75;1,44;3;1,45;3;1,5;2,79;1,43
3;Melbourne;Melbourne Summer Set 2;07/01/2022;WTA250;Outdoor;Hard;Quarterfinals;3;Li A.;Rakhimova K.;47;120;1314;626;6;1;7;5;;;2;0;Completed;1,25;4;1,31;3,83;1,31;4;1,28;3,64
3;Melbourne;Melbourne Summer Set 2;08/01/2022;WTA250;Outdoor;Hard;Semifinals;3;Anisimova A.;Kasatkina D.;78;26;890;2180;6;2;6;0;;;2;0;Completed;1,9;1,9;1,9;2;2,03;2,15;1,88;1,92
3;Melbourne;Melbourne Summer Set 2;08/01/2022;WTA250;Outdoor;Hard;Semifinals;3;Sasnovich A.;Li A.;107;47;755;1314;7;6;2;6;6;3;2;1;Completed;2,5;1,53;2,48;1,61;2,74;1,7;2,47;1,53
3;Melbourne;Melbourne Summer Set 2;09/01/2022;WTA250;Outdoor;Hard;The Final;3;Anisimova A.;Sasnovich A.;78;107;890;755;7;5;1;6;6;4;2;1;Completed;1,4;3;1,41;3,16;1,45;3,16;1,39;2,95
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Konjuh A.;Saville D.;65;385;1033;151;6;2;7;6;;;2;0;Completed;1,44;2,75;1,51;2,74;1,51;2,95;1,46;2,69
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Vondrousova M.;Golubic V.;34;42;1701;1452;5;7;6;4;6;3;2;1;Completed;1,44;2,75;1,51;2,74;1,56;2,8;1,48;2,62
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Parrizas Diaz N.;Cornet A.;64;62;1043;1050;6;4;6;4;;;2;0;Completed;2,2;1,66;2,49;1,6;2,55;1,7;2,32;1,6
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Riske A.;Linette M.;57;55;1121;1142;6;4;6;4;;;2;0;Completed;1,61;2,3;1,58;2,52;1,67;2,75;1,55;2,43
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Keys M.;Svitolina E.;87;16;874;2726;6;2;6;4;;;2;0;Completed;2,62;1,5;2,65;1,53;2,83;1,57;2,52;1,51
4;Adelaide;Adelaide International 1;10/01/2022;WTA500;Outdoor;Hard;1st Round;3;Kostyuk M.;Rogers S.;50;36;1215;1643;6;3;6;4;;;2;0;Completed;2,62;1,5;2,81;1,49;2,9;1,53;1,47;2,64
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Inglis M.;Kovinic D.;139;99;559;808;6;4;1;6;6;2;2;1;Completed;1,72;2,1;1,7;2,27;1,8;2,3;1,7;2,14
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Zidansek T.;Watson H.;31;74;1876;949;2;6;6;2;7;6;2;1;Completed;1,57;2,37;1,54;2,63;1,64;2,63;1,58;2,35
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Peterson R.;Sabalenka A.;93;2;853;6351;5;7;6;1;7;5;2;1;Completed;4,33;1,22;4,45;1,24;4,6;1,26;4,17;1,22
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Brengle M.;Potapova A.;59;67;1102;1025;7;5;4;6;6;1;2;1;Completed;2,37;1,57;2,48;1,6;2,55;1,67;2,38;1,58
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Martincova T.;Yastremska D.;48;102;1226;789;6;4;3;6;6;3;2;1;Completed;1,9;1,9;1,96;1,92;2;1,95;1,93;1,86
4;Adelaide;Adelaide International 1;11/01/2022;WTA500;Outdoor;Hard;1st Round;3;Davis L.;Teichmann J.;95;37;834;1620;1;6;7;6;6;4;2;1;Completed;2,62;1,5;2,87;1,47;3;1,53;2,69;1,46
